"Topology","PredictedSyncStable","MaxTransverseLyapunov","EmpiricalPestSync_Mean","EmpiricalPestSpatialCV_Mean"
"Path",false,0.000988864367443336,0.7308079448454778,0.015378033093841005
"Cycle",true,-0.00027853141537234193,0.7444892829608892,0.0127294349243091
"Star",true,-0.0009629149606817403,0.8511728397548491,0.0011250352187610801
"Complete",true,-0.013382649854050487,0.8511728269925566,0.001125352951031307
"Random",false,0.0025887514124344913,0.7746506824803415,0.00894837628673987
"SmallWorld",true,-0.004634065637463828,0.8031779427651191,0.004256406817528724
"ScaleFree",true,-0.002704940861251283,0.8046547449097148,0.004568707540240689
